Group,Filename,Structural_Phi,Order_Parameter_r,Invariant_Delta,Clinical_State
AUTO_SYSTEM,philox-testset-2_1088.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-arccosh_1164.csv,6.93e-01,6894.7165,6893.8665,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccosh_1182.csv,6.93e-01,6537.8903,6537.0403,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsin_1140.csv,1.39e+00,6405.8785,6405.0285,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsinh.csv,6.93e-01,6952.6305,6951.7805,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arctanh_1141.csv,6.93e-01,6684.9212,6684.0712,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-expm1_1153.csv,1.10e+00,6776.1691,6775.3191,CRITICAL_BREAKDOWN
AUTO_SYSTEM,iris_1232.csv,5.02e+01,0.2265,0.6235,DYNAMIC_FLOW
AUTO_SYSTEM,nile.csv,4.43e+02,0.0014,0.8486,DYNAMIC_FLOW
AUTO_SYSTEM,mar_filardo.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,influence_measures_bool_R.csv,1.39e+02,0.005,0.845,DYNAMIC_FLOW
AUTO_SYSTEM,2016-07-29_1306.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-arctanh_1229.csv,6.93e-01,6884.2713,6883.4213,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-log10_1205.csv,1.39e+00,6650.4452,6649.5952,CRITICAL_BREAKDOWN
AUTO_SYSTEM,co2_1260.csv,6.14e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,stata_medpar1_glm.csv,4.97e+03,22.7366,21.8866,CRITICAL_BREAKDOWN
AUTO_SYSTEM,2016-06-29_1192.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,age_records_1293.csv,5.52e+01,0.0122,0.8378,DYNAMIC_FLOW
AUTO_SYSTEM,age_records.csv,5.52e+01,0.0122,0.8378,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log10_1210.csv,1.39e+00,6787.623,6786.773,CRITICAL_BREAKDOWN
AUTO_SYSTEM,bds_data_1246.csv,9.86e+02,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,wine_data_1223.csv,8.14e+02,0.0009,0.8491,DYNAMIC_FLOW
AUTO_SYSTEM,dietox_1258.csv,2.74e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,elec_equip.csv,5.50e+02,0.0163,0.8337,DYNAMIC_FLOW
AUTO_SYSTEM,lasso_data_1328.csv,1.51e+03,0.0013,0.8487,DYNAMIC_FLOW
AUTO_SYSTEM,inventory_EEG_MOTOR.csv,3.50e+03,73.288,72.438,CRITICAL_BREAKDOWN
AUTO_SYSTEM,master_edf_scan_1266.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,master_ok_1290.csv,4.65e+03,0.0002,0.8498,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-2_1334.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,grunfeld.csv,8.67e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,rand10000_1361.csv,5.27e+03,0.0065,0.8435,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-arcsinh_1339.csv,6.93e-01,6669.5791,6668.7291,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-exp2_1351.csv,6.93e-01,6811.9661,6811.1161,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-expm1_1269.csv,1.10e+00,6505.9924,6505.1424,CRITICAL_BREAKDOWN
AUTO_SYSTEM,star98_1374.csv,2.57e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-log2_1346.csv,1.10e+00,6669.9024,6669.0524,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tanh_1316.csv,0.00e+00,24062.2482,24061.3982,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tanh_1344.csv,0.00e+00,24181.0185,24180.1685,CRITICAL_BREAKDOWN
AUTO_SYSTEM,age_records_1532.csv,5.52e+01,0.0122,0.8378,DYNAMIC_FLOW
AUTO_SYSTEM,autos_1684.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,cataneo2_1586.csv,2.78e+04,0.0004,0.8496,DYNAMIC_FLOW
AUTO_SYSTEM,cancer_1579.csv,1.22e+03,0.0,0.85,DYNAMIC_FLOW
AUTO_SYSTEM,engel_1397.csv,1.29e+03,0.0006,0.8494,DYNAMIC_FLOW
AUTO_SYSTEM,elec_equip_1530.csv,5.50e+02,0.0163,0.8337,DYNAMIC_FLOW
AUTO_SYSTEM,cataneo2.csv,2.78e+04,0.0004,0.8496,DYNAMIC_FLOW
AUTO_SYSTEM,dosenbach_2010_1523.csv,1.10e+02,0.0063,0.8437,DYNAMIC_FLOW
AUTO_SYSTEM,grunfeld_1618.csv,8.67e+02,0.0005,0.8495,DYNAMIC_FLOW
AUTO_SYSTEM,gee_linear_1_1602.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,gee_nested_linear_1_1589.csv,1.38e+02,0.0051,0.8449,DYNAMIC_FLOW
AUTO_SYSTEM,lme01.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,Artemis123_mneLoc_1647.csv,9.92e+01,0.5774,0.2726,DYNAMIC_FLOW
AUTO_SYSTEM,cubic_cyclic_splines_from_mgcv_1608.csv,2.77e+02,0.0025,0.8475,DYNAMIC_FLOW
AUTO_SYSTEM,cubic_cyclic_splines_from_mgcv.csv,2.77e+02,0.0025,0.8475,DYNAMIC_FLOW
AUTO_SYSTEM,iris_1688.csv,5.00e+01,0.2262,0.6238,DYNAMIC_FLOW
AUTO_SYSTEM,lme01_1454.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,lme06_1447.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,lme10_1630.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,lme11_1439.csv,6.86e+01,0.0101,0.8399,DYNAMIC_FLOW
AUTO_SYSTEM,lme00_1665.csv,6.86e+01,0.0102,0.8398,DYNAMIC_FLOW
AUTO_SYSTEM,logit_gam_mgcv_1487.csv,1.38e+02,0.005,0.845,DYNAMIC_FLOW
AUTO_SYSTEM,macrodata_1513.csv,7.85e+02,0.0001,0.8499,DYNAMIC_FLOW
AUTO_SYSTEM,mar_filardo_1621.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,inv_gaussian_1683.csv,1.16e+04,0.4813,0.3687,DYNAMIC_FLOW
AUTO_SYSTEM,nile_1455.csv,4.43e+02,0.0014,0.8486,DYNAMIC_FLOW
AUTO_SYSTEM,mt19937-testset-1_1394.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,racd10data_with_transformed_1527.csv,2.18e+04,0.0509,0.7991,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-arctan_1445.csv,1.10e+00,6539.3362,6538.4862,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cos_1497.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-cosh_1392.csv,1.10e+00,6685.5383,6684.6883,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-cosh_1594.csv,1.10e+00,6493.2909,6492.4409,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-exp_1672.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-exp2_1639.csv,6.93e-01,6973.4839,6972.6339,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arccos_1604.csv,1.10e+00,6553.4169,6552.5669,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-arcsinh_1494.csv,6.93e-01,6764.3532,6763.5032,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-sin_1566.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,umath-validation-set-sinh_1625.csv,6.93e-01,6634.1667,6633.3167,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tan_1427.csv,1.39e+00,6372.1141,6371.2641,CRITICAL_BREAKDOWN
AUTO_SYSTEM,umath-validation-set-tanh_1495.csv,0.00e+00,24523.3703,24522.5203,CRITICAL_BREAKDOWN
AUTO_SYSTEM,sfc64-testset-1_1676.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-2_1509.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AUTO_SYSTEM,uci_risk_with_alarms.csv,nan,,,DYNAMIC_FLOW
AUTO_SYSTEM,stata_lbw_glm.csv,3.96e+02,0.0003,0.8497,DYNAMIC_FLOW
AUTO_SYSTEM,stata_medpar1_glm_1673.csv,4.97e+03,22.6317,21.7817,CRITICAL_BREAKDOWN
AUTO_SYSTEM,stata_lbw_glm_1700.csv,3.96e+02,0.0003,0.8497,DYNAMIC_FLOW
AUTO_SYSTEM,sm3533_1713.csv,1.53e+03,0.0139,0.8361,DYNAMIC_FLOW
AUTO_SYSTEM,yhat_exact_nc_1464.csv,2.36e+02,0.1166,0.7334,DYNAMIC_FLOW
AUTO_SYSTEM,sfc64-testset-1_1698.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_matlab_ssm_1027.csv,4.80e+01,0.301,0.549,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_matlab_ssm.csv,4.80e+01,0.301,0.549,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_stata_1040.csv,6.09e+01,0.0209,0.8291,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_ar3_stata.csv,6.09e+01,0.0209,0.8291,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_missing_ar3_matlab_ssm_966.csv,4.72e+01,0.3075,0.5425,DYNAMIC_FLOW
AR_MODELS&MISSING_DATA_HANDLING,results_wpi1_missing_ar3_matlab_ssm.csv,4.72e+01,0.3075,0.5425,DYNAMIC_FLOW
GROUP_STATS,results_intercepts_R.csv,7.74e+02,0.0023,0.8477,DYNAMIC_FLOW
GROUP_STATS,results_kde_fft_593.csv,1.22e+00,3.3758,2.5258,CRITICAL_BREAKDOWN
GROUP_STATS,results_kde_fft.csv,1.22e+00,3.3769,2.5269,CRITICAL_BREAKDOWN
GROUP_STATS,results_kde.csv,4.10e+00,6.2471,5.3971,CRITICAL_BREAKDOWN
GROUP_STATS,results_tweedie_aweights_nonrobust.csv,4.16e+03,1.2222,0.3722,CRITICAL_BREAKDOWN
GROUP_STATS,rgnpq_983.csv,1.86e+00,0.7137,0.1363,DYNAMIC_FLOW
GROUP_STATS,rgnpq.csv,1.86e+00,0.7137,0.1363,DYNAMIC_FLOW
GROUP_STATS,siena_PN_segments_120s_MAX20_stream_989.csv,5.81e+02,0.0004,0.8496,DYNAMIC_FLOW
GROUP_STATS,siena_PN_segments_120s_MAX20_stream.csv,5.81e+02,0.0004,0.8496,DYNAMIC_FLOW
GROUP_STATS,siena_PN_segments_120s_STEP2_stream_1049.csv,6.82e+02,0.0003,0.8497,DYNAMIC_FLOW
GROUP_STATS,siena_PN_segments_120s_STEP2_stream.csv,6.82e+02,0.0003,0.8497,DYNAMIC_FLOW
GROUP_STATS,batch_summary_final_1336.csv,1.06e+02,113.8302,112.9802,CRITICAL_BREAKDOWN
GROUP_STATS,formula_test_all_20260215_100355_1491.csv,1.84e+03,0.0025,0.8475,DYNAMIC_FLOW
seizure&windows,umath-validation-set-arcsinh_1714.csv,6.93e-01,6780.2878,6779.4378,CRITICAL_BREAKDOWN
seizure&windows,umath-validation-set-exp_1699.csv,nan,,,DYNAMIC_FLOW
seizure&windows,umath-validation-set-log_1733.csv,nan,,,DYNAMIC_FLOW
seizure&windows,windows_labeled_268.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_labeled_666.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_labeled.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_scored_preictal_index_150.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_scored_preictal_index_244.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_scored_preictal_index_553.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_scored_preictal_index_1016.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
seizure&windows,windows_scored_preictal_index.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
Robustness_Checks,batch_rank_by_consistency_1432.csv,1.47e+02,103.4967,102.6467,CRITICAL_BREAKDOWN
Robustness_Checks,batch_summary_partial_1731.csv,1.06e+02,107.9422,107.0922,CRITICAL_BREAKDOWN
DATASET_SPECIFIC_RESULTS,neurocore_full_dataset_audit.csv,3.53e+01,126.4396,125.5896,CRITICAL_BREAKDOWN
NEUROCORE_IRCCS_INDEX,inventory_full.csv,1.59e+02,96.1485,95.2985,CRITICAL_BREAKDOWN
PURSUE_LRP_ERN_Flanker,robotics_control_table.csv,1.13e+02,0.0061,0.8439,DYNAMIC_FLOW
Face_Processing,ds002718_faceproc_20260222_093430__ERP_WINDOW_FEATURES.csv,4.35e+02,0.0541,0.7959,DYNAMIC_FLOW
Face_Processing,ds002718_faceproc_20260222_093430__EVENTS_COUNTS.csv,4.35e+02,0.0106,0.8394,DYNAMIC_FLOW
India+Tanzania,INDIA__df_z.csv,nan,,,DYNAMIC_FLOW
India+Tanzania,INDIA__Z.csv,5.03e+03,22156.3687,22155.5187,CRITICAL_BREAKDOWN
India+Tanzania,INDIA__subset.csv,2.32e+03,22243.3283,22242.4783,CRITICAL_BREAKDOWN
India+Tanzania,INDIA__top_windows.csv,nan,,,DYNAMIC_FLOW
India+Tanzania,INDIA__df0.csv,nan,,,DYNAMIC_FLOW
India+Tanzania,INDIA__df_z__dup__1771539594.csv,nan,,,DYNAMIC_FLOW
India+Tanzania,INDIA__Z__dup__1771539594.csv,5.03e+03,22153.5565,22152.7065,CRITICAL_BREAKDOWN
India+Tanzania,INDIA__subset__dup__1771539614.csv,2.32e+03,22247.8236,22246.9736,CRITICAL_BREAKDOWN
India+Tanzania,INDIA__top_windows__dup__1771539632.csv,nan,,,DYNAMIC_FLOW
India+Tanzania,INDIA__df0__dup__1771539632.csv,nan,,,DYNAMIC_FLOW
MDD,lme03_1720.csv,6.86e+01,0.0103,0.8397,DYNAMIC_FLOW
MDD,mstl_test_results_1493.csv,1.95e+04,0.0002,0.8498,DYNAMIC_FLOW
CHBMIT,chb_earlywarning_metrics_703.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_earlywarning_metrics.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_300.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_338.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_530.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_874.csv,1.75e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_881.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready_425.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready_569.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready_613.csv,nan,,,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_141.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_180.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_404.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_431.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_632.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_735.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_1024.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_167.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_224.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_272.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1065.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_216.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_322.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_335.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_669.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_865.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_948.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_199.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_276.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_367.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_385.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_676.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_720.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_727.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_900.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_211.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_294.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_395.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_396.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_429.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_549.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_612.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_698.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_759.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_1060.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,transitions_336.csv,5.22e+02,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_1094.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_1097.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1119.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1122.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,epil.csv,1.63e+02,0.0042,0.8458,DYNAMIC_FLOW
CHBMIT,chb_ictal_features_1187.csv,2.33e+05,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_1172.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb_window_timeseries_sample_1282.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1264.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1322.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1356.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_1250.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,epil_1196.csv,1.63e+02,0.0042,0.8458,DYNAMIC_FLOW
CHBMIT,windows_labeled_1349.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_scored_preictal_index_1294.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_scored_preictal_index_1348.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready_1453.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb_preictal_baseline_ready_1541.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1554.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1565.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb02_17_delta_corr_timeseries_1590.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1480.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_dyn_1616.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_1629.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_entropy_1653.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_1444.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb03_chb03_01_functional_stability_stepC_FSI_t_1558.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
CHBMIT,chb_earlywarning_metrics_1710.csv,5.54e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_scored_preictal_index_1619.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_scored_preictal_index_1690.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_scored_preictal_index_1600.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHBMIT,windows_labeled_1511.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHB_PRE_vs_INTER_20260218_133447,windows_labeled.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHB_PRE_vs_INTER_20260218_133447,windows_scored_preictal_index.csv,3.30e+03,0.0001,0.8499,DYNAMIC_FLOW
CHB_PRED_20260218_121717,chb_window_timeseries_sample.csv,3.23e+02,0.0016,0.8484,DYNAMIC_FLOW
outputs_chbmit,chb02_17_delta_corr_timeseries.csv,1.28e+03,0.0003,0.8497,DYNAMIC_FLOW
chb03,chb03_chb03_01_functional_stability_stepC_dyn.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
chb03,chb03_chb03_01_functional_stability_stepC_entropy.csv,6.41e+02,0.0006,0.8494,DYNAMIC_FLOW
chb03,chb03_chb03_01_functional_stability_stepC_FSI_t.csv,6.40e+02,0.0006,0.8494,DYNAMIC_FLOW
EEG_Siena_Scalp,siena_PN_segments_120s_MAX20_stream.csv,5.81e+02,0.0004,0.8496,DYNAMIC_FLOW
EEG_Siena_Scalp,siena_PN_segments_120s_STEP2_stream.csv,6.82e+02,0.0003,0.8497,DYNAMIC_FLOW
RNS_Epilepsy-iBIDS,RNS_DETECTED_SIGNALS.csv,4.89e+03,402.3485,401.4985,CRITICAL_BREAKDOWN
EEGMMIDB,motorcycle.csv,3.38e+02,0.0063,0.8437,DYNAMIC_FLOW
EEGMMIDB,motorcycle_616.csv,3.38e+02,0.0063,0.8437,DYNAMIC_FLOW
EEGMMIDB,inventory_EEG_MOTOR.csv,3.50e+03,70.7571,69.9071,CRITICAL_BREAKDOWN
EEGMMIDB,inventory_EEG_MOTOR__1771539332.csv,3.50e+03,71.8643,71.0143,CRITICAL_BREAKDOWN
EEGMMIDB,inventory_EEG_MOTOR__1771539333.csv,3.50e+03,71.549,70.699,CRITICAL_BREAKDOWN
Hypoalgesia_ds006902,NeuroCore_fNIRS_metrics_v5_1.csv,7.35e+03,0.0002,0.8498,DYNAMIC_FLOW
FEATURES_ENGINE_RAW,framing_1648.csv,1.83e+02,0.0038,0.8462,DYNAMIC_FLOW
FEATURES_ENGINE_RAW,resids_exact_nc_1559.csv,1.82e+02,0.2121,0.6379,DYNAMIC_FLOW
FEATURES_ENGINE_RAW,results_predict_rgnp_1448.csv,nan,,,DYNAMIC_FLOW
statistical_tests,pcg64-testset-1_1443.csv,6.92e+02,0.001,0.849,DYNAMIC_FLOW
